run,is_dp,is_fusion,eligible,fusion_type,macro_auroc,macro_auprc,macro_f1,ece,mean_brier,cam_top10_iou,token_spearman,epsilon,dp_placement,n_macro_auroc,n_ece,n_cam_top10_iou,n_token_spearman,composite
fusion_late,False,True,False,late,0.8205576611993921,0.29129376653078676,0.34683549978213774,0.011179010899432297,0.04432678129918453,,,,,0.9526530502900687,0.9140606989611689,0.5,0.5,0.7845763948563197
fusion_early,False,True,False,early,0.8314759309838191,0.2808723465355232,0.3482605464536883,0.015048644292868127,0.04381777051827701,,,,,1.0,0.8205023364008723,0.5,0.5,0.780125584100218
baseline_masked_text,False,False,False,late,0.7826282360655028,0.2117616183053161,0.29146294348876084,0.008027363386401545,0.04830105153666614,,,,,0.7881725401178146,0.9902599020139886,0.5,0.5,0.737833991550623
ebud_late_ep25_lr0p003,False,False,False,late,0.8042974210996515,0.27012812212749865,0.3447840408248738,0.016495488188628383,0.048459368366724355,,,,,0.8821407085477979,0.7855211554969365,0.5,0.5,0.7242365722933533
dp_f_late_fusion_tuned,True,True,True,late,0.7917128428181168,0.2493167447488645,0.30513483455631646,0.01453809574239391,0.04607515711826108,,,7.9963673844135,DP-F,0.8275678314545446,0.8328461637181908,0.5,0.5,0.7142386735113655
baseline_text_only,False,False,False,late,0.7815897743601632,0.21066550619942528,0.30068462561962334,0.01301755143878473,0.048499271621565976,,,,,0.7836692630318669,0.8696092419693193,0.5,0.5,0.7058700157050766
dp_a_late_fusion_tuned,True,True,True,late,0.79326653824266,0.25083567390523603,0.31089885241533344,0.01714447998913556,0.046322888175585296,,,7.9963673844135,DP-A,0.8343054135607608,0.7698301057263022,0.5,0.5,0.7011796918558798
ebud_late_ep15_lr0p003,False,False,False,late,0.7918355738230167,0.2596372913336419,0.3264831406751754,0.019552408635791354,0.04944827686682449,,,,,0.8281000530273375,0.7116122234521572,0.5,0.5,0.6841430770739743
ebud_late_ep25_lr0p001,False,False,False,late,0.7781900241467319,0.24194953008375056,0.31646740474695567,0.019567429277420452,0.050363840465791676,,,,,0.7689262858422712,0.7112490607200475,0.5,0.5,0.6603827795169204
ebud_late_ep8_lr0p003,False,False,False,late,0.7801185341436455,0.24398539105919478,0.3224674705431023,0.021360089270123596,0.050360794243334464,,,,,0.7772892469745566,0.6679068842158946,0.5,0.5,0.6528924198437963
baseline_image_only,False,False,False,late,0.7273132538839274,0.15279434978166476,0.2023505199742477,0.0076245067374545745,0.052008885787387195,,,,,0.5482997643697438,1.0,0.5,0.5,0.6443199057478974
ebud_late_ep15_lr0p001,False,False,False,late,0.7671560593766378,0.22873074478377076,0.304556314232456,0.020347973468384788,0.051239141558884746,,,,,0.7210776261749724,0.6923773927898369,0.5,0.5,0.6365253986674482
dp_f_early_fusion_tuned,True,True,True,early,0.8036669273677883,0.2592307581022695,0.3032252613993898,0.0309368545403476,0.04676478509820137,,,7.9963673844135,DP-F,0.8794065798255408,0.4363638964935016,0.5,0.5,0.6358536060535916
dp_a_late_fusion,True,True,True,late,0.6745577379923714,0.140053354150907,0.19582065420399397,0.016841503176943395,0.053081607555347896,0.0845,0.594,7.9935356566071,DP-A,0.31952608436765445,0.7771553511850895,1.0,0.6538461538461539,0.6201761946202572
dp_a_early_fusion_tuned,True,True,True,early,0.7995128623563081,0.2545237007143746,0.31559767077008105,0.034942102561513644,0.04745847161223652,,,7.9963673844135,DP-A,0.8613925253028297,0.33952670071577784,0.5,0.5,0.6044386853000764
ebud_early_ep25_lr0p003,False,False,False,early,0.8048129618337686,0.26773509148373176,0.34255943776589504,0.03693620044714349,0.05021018694201138,,,,,0.8843763449346619,0.2913142438765969,0.5,0.5,0.601579098943014
ebud_late_ep3_lr0p003,False,False,False,late,0.7556648650895321,0.2108367514532067,0.2874842279180944,0.023879978627539038,0.05269328055148936,,,,,0.6712461960343958,0.6069820631429662,0.5,0.5,0.5952439941994998
ebud_late_ep8_lr0p001,False,False,False,late,0.7515445203175279,0.21054375377607074,0.28135865119244474,0.024028908660634445,0.053090077341525134,,,,,0.6533783689372934,0.6033812956759257,0.5,0.5,0.5871966714938988
ebud_early_ep25_lr0p001,False,False,False,early,0.7847356768012178,0.238995319555458,0.32302497298196087,0.0337544009461452,0.05091499209667755,,,,,0.7973114323141659,0.36824244896536285,0.5,0.5,0.585985185167007
ebud_early_ep15_lr0p003,False,False,False,early,0.7924319229077962,0.24927116465819354,0.326507400182687,0.03939930672665701,0.05150438744186183,,,,,0.8306861138853399,0.23176230008931775,0.5,0.5,0.5652150205764653
ebud_early_ep15_lr0p001,False,False,False,early,0.7730151564115684,0.22719879509874427,0.31599973003397397,0.03542877851137039,0.05188366314856994,,,,,0.7464855322018177,0.3277600550579972,0.5,0.5,0.5555342266452263
ebud_early_ep8_lr0p003,False,False,False,early,0.7795601138219629,0.23650093531913147,0.3202734059345462,0.03907405916461016,0.05209069285614977,,,,,0.7748676637558105,0.2396259983361465,0.5,0.5,0.5448535650863607
ebud_late_ep3_lr0p001,False,False,False,late,0.6860432953422333,0.15264950338887137,0.20798624798064025,0.019436611337983835,0.05580389949631888,,,,,0.3693330699955501,0.714411921632909,0.5,0.5,0.5013362084064472
ebud_early_ep8_lr0p001,False,False,False,early,0.7551383637871381,0.2063935013131927,0.28634859949286623,0.0416766716848386,0.05541980472695586,,,,,0.6689630292709018,0.17670113155560097,0.5,0.5,0.48676049459726095
sweep_dpf_late_eps8,True,False,False,late,0.6657498400722699,0.1412722603924575,0.19306732126159742,0.01778748718646343,0.05313509421613475,,,,,0.28133073765914296,0.7542837491648434,0.5,0.5,0.476103232354868
sweep_dpf_late_eps4,True,False,False,late,0.6573875786081104,0.13318761640133644,0.18470946959925585,0.017069455823929464,0.05335783893106984,,,,,0.24506788824965328,0.7716440083200317,0.5,0.5,0.46593815737986927
dp_m_late_fusion,True,True,True,late,0.6731797634738976,0.1421524949714974,0.19317343810580928,0.017519922462062257,0.053018433709982625,0.0752,0.603,7.9935356566071,DP-M,0.3135505139232602,0.7607528161147863,0.0,1.0,0.46560840959800065
dp_f_late_fusion,True,True,True,late,0.6700394739308246,0.14436360911210583,0.19131861561262253,0.01839714411456706,0.053169993223228997,0.0752,0.6023,7.9935356566071,DP-F,0.29993268490766195,0.7395437213333511,0.0,0.9730769230769218,0.4508205427579408
ebud_early_ep3_lr0p003,False,False,False,early,0.7495549734238123,0.19957447323173388,0.27557971302732065,0.04898514289589443,0.05791482158795014,,,,,0.6447507220131751,0.0,0.5,0.5,0.43290028880527004
sweep_dpf_late_eps2,True,False,False,late,0.6298022637180725,0.12377721637055732,0.1754091255091358,0.01671690260289893,0.053973726815936554,,,,,0.12544449162923468,0.7801678912622575,0.5,0.5,0.4202197694672583
sweep_dpf_late_eps1,True,False,False,late,0.6008745965511422,0.11517810304118015,0.16532839036521133,0.015666691090196035,0.05473658857769591,,,,,0.0,0.8055594618531898,0.5,0.5,0.3763898654632975
ebud_early_ep3_lr0p001,False,False,False,early,0.7112843552738398,0.148871653123989,0.2009992488076029,0.04817499860034407,0.059843661530657656,,,,,0.4787906323019622,0.019587326762744883,0.5,0.5,0.3714130846114711
sweep_dpf_early_eps4,True,False,False,early,0.6919814565198339,0.1387413880577489,0.17787340418476427,0.04411162508128951,0.056938734951243374,,,,,0.3950838367558969,0.11782985628983011,0.5,0.5,0.36249099877481633
sweep_dpf_early_eps2,True,False,False,early,0.6862587355554295,0.1303126610618276,0.17194540851402576,0.0440064661709939,0.057198386391807375,,,,,0.3702673239699523,0.1203723440284804,0.5,0.5,0.35320001559510106
dp_f_early_fusion,True,True,True,early,0.7031647593254566,0.14146946727375806,0.17972656715479632,0.04560681637376547,0.05702560873604481,,0.5856,7.9935356566071,DP-F,0.44358009907430795,0.08167975243871084,0.5,0.3307692307692325,0.3474673623547858
sweep_dpf_early_eps8,True,False,False,early,0.6845846155358177,0.12979926325908217,0.17024696857535027,0.04573245377555181,0.057425247772055196,,,,,0.3630075220103045,0.07864214437811279,0.5,0.5,0.33986354489865006
dp_a_early_fusion,True,True,True,early,0.7076354909181719,0.14905058042545746,0.18972989282127567,0.0447449564333942,0.056723472746128545,,0.577,7.9935356566071,DP-A,0.4629673745370199,0.10251743822936821,0.5,0.0,0.31081630937215005
sweep_dpf_early_eps1,True,False,False,early,0.6600241152474876,0.11470846947209416,0.16060689434406222,0.043762512527329045,0.05756237733232509,,,,,0.2565011986676681,0.12627055223616723,0.5,0.5,0.30916811752610907
dp_m_early_fusion,True,True,True,early,0.7021778591336671,0.14374339999838576,0.1878845437146393,0.04545125785878318,0.05708551419366716,,0.5778,7.9935356566071,DP-M,0.43930041789112034,0.08544078054249526,0.5,0.030769230769231624,0.3016957469074567
